e7fdb74,Qingyi Zhou,82 seconds ago,fix bugs,
5876bec,BIEY123,2 hours ago,Update README.md,
f790239,weizhiwj,3 hours ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
5387b1c,weizhiwj,3 hours ago,add comment,
9843c67,biey,3 hours ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
6dc7283,biey,3 hours ago,delete,
a4805ab,Haowen Shen,3 hours ago,Merge pull request #17 from qingyiz1/test,
b75c175,Haowen,4 hours ago,adjust some texts and image appearance,
7537354,biey,4 hours ago,delete,
adda73e,biey,5 hours ago,Update UserViewActivity.java,
95de35e,biey,14 hours ago,Follow list funtion,
a6c1d9d,Zihan,16 hours ago,Update MapActivity.java,
3922fff,Zihan,16 hours ago,Update MapActivity.java,
1c64f8e,Zihan,16 hours ago,mapupdate,
af8a6d1,Zihan,19 hours ago,Update MapActivity.java,
27d2fb3,Zihan,20 hours ago,Update MapActivity.java,
34c2034,Zihan,20 hours ago,update map,
faafb71,Zihan,20 hours ago,update manifest,
362e7fd,Zihan,20 hours ago,update map,
8febeb9,Zihan,22 hours ago,update API,
ec69597,biey,23 hours ago,Modify,
8b3f56b,biey,24 hours ago,Update ProfileFragment.java,
f8864bc,biey,25 hours ago,debug,
77461ff,biey,26 hours ago,ADD context in userview, repair my BUG
571ef85,biey,28 hours ago,Update activity_shake_result.xml,
caa8cef,Qingyi Zhou,28 hours ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
767133a,Qingyi Zhou,28 hours ago,search done,
525ed51,biey,2 days ago,Update ShakeResultActivity.java,
23d7e4d,biey,2 days ago,Update ShakeResultActivity.java,
bcfbb92,biey,2 days ago,Update UserViewActivity.java,
d34c23a,biey,2 days ago,Update ShakeResultActivity.java,
c2e87d8,biey,3 days ago,shake,
1679b56,weizhiwj,3 days ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
4d61c9e,weizhiwj,3 days ago,rm shakefragment,
63ae6f3,biey,3 days ago,shake,
036adec,biey,3 days ago,Add scrollview,
dc52afd,Qingyi Zhou,4 days ago,update Homepage and Comment,
835ef80,Qingyi Zhou,4 days ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
8992fc3,Qingyi Zhou,4 days ago,finish comment activity,
94d213a,biey,4 days ago,Update HomeActivity.java,
47e1597,Zihan,4 days ago,update map,
7baf4fb,Zihan,4 days ago,Update build.gradle,
7d2177f,Qingyi Zhou,4 days ago,update Homepage,
443a40a,Qingyi Zhou,4 days ago,finished Home Fragment and Post Activity,
c2f7a4f,weizhiwj,4 days ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
3433ee7,weizhiwj,4 days ago,add shake fragment,
bdb8fd5,Qingyi Zhou,4 days ago,Homepage link to database,
b933d09,weizhiwj,4 days ago,Merge feed,
3d65b29,weizhiwj,4 days ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
9884615,weizhiwj,4 days ago,update comment,
84c2a80,Joyce888888,4 days ago,updated,
8.84E+11,weizhiwj,5 days ago,Update ShakeActivity.java,
01129f9,weizhiwj,5 days ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
266a52d,weizhiwj,5 days ago,11.5,
2649eee,Qingyi Zhou,5 days ago,postActivity database,
bb8ee09,Qingyi Zhou,5 days ago,finish Post activity,
c63b483,Qingyi Zhou,5 days ago,Link Profile database,
d96942b,weizhiwj,5 days ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
9bb5ed8,weizhiwj,5 days ago,shake update,
aa45fd8,Qingyi Zhou,5 days ago,update profile and edit profile,
4e176ba,Joyce888888,5 days ago,Search updated,
d2a0142,Joyce888888,6 days ago,redo,
23cab09,Joyce888888,6 days ago,redo,
ffaf8c1,Joyce888888,6 days ago,redo,
9abbeca,Joyce888888,6 days ago,redo,
f574b2c,Joyce888888,6 days ago,updated,
2b3d26e,Joyce888888,6 days ago,updated,
b7c36b1,Joyce888888,6 days ago,add,
702a09e,Joyce888888,6 days ago,deleted,
409a24f,Joyce888888,6 days ago,searchupdated,
2d8a2f0,weizhiwj,6 days ago,add Follow Button,
2bd9945,weizhiwj,6 days ago,Update AndroidManifest.xml,
8dad860,weizhiwj,6 days ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
4997693,weizhiwj,6 days ago,11.3,
df807d4,Haowen Shen,6 days ago,Merge pull request #16 from qingyiz1/users,
6df2b32,Haowen,6 days ago,delete unused snippet,
8305f3b,Haowen Shen,6 days ago,Merge pull request #15 from qingyiz1/users,
8769159,Haowen,6 days ago,fix the merge conflicts,
e3983e5,Haowen,6 days ago,move EditProfileActivity to Users folder,
895d6d1,Haowen,6 days ago,finish the basic function of user lists for likes, following and followers
c8880f0,Haowen,6 days ago,modify manifest,
c99b986,Haowen,7 days ago,finish the basic function of edit profile, wating connecting to database
01eff25,Haowen,7 days ago,create variables in edit profile activity,
cf4e580,Haowen,7 days ago,finish the main xml of edit profile page,
a057612,Haowen,7 days ago,refactor all the user activities,
b518869,Haowen,7 days ago,create User Adapter to get user data from the server,
fc9f99c,Haowen,7 days ago,create user item to show user profile, username and full name
1b7b322,Joyce888888,7 days ago,up,
10c1523,Joyce888888,7 days ago,update,
33141aa,Joyce888888,7 days ago,up,
5735986,Haowen,7 days ago,create a followers page,
639a7ec,Joyce888888,7 days ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
5041c41,Haowen,7 days ago,hide the sippet center file temporarily,
f4f42fb,Joyce888888,7 days ago,updated,
64c0c7a,Joyce888888,7 days ago,updated,
a36e8f7,Qingyi Zhou,7 days ago,Update AndroidManifest.xml,
49c311e,Qingyi Zhou,7 days ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
69eeb2e,Qingyi Zhou,7 days ago,ProfileFragment,
b182a5f,weizhiwj,7 days ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
4177674,weizhiwj,7 days ago,11.2,
6c8f968,Joyce888888,7 days ago,updated,
fc870da,Haowen Shen,7 days ago,Merge pull request #13 from qingyiz1/users,
49cfec2,Haowen,7 days ago,add the center part to eidt profile page,
586c4d9,Haowen,8 days ago,add the circle imageview lib,
3d88c31,Haowen,8 days ago,add the center to edit profile page,
8bfd64c,Haowen Shen,8 days ago,Merge pull request #12 from qingyiz1/users,
48dbc59,Haowen,8 days ago,add the toolbar on edit profile page,
c3d16a6,Haowen,8 days ago,create the edit profile toolbar,
e8e1497,Haowen,8 days ago,create some relative layouts in edit profile fragment,
70383db,Haowen,8 days ago,create edit profile fragment,
d160207,Haowen,8 days ago,manifest bug fixed,
f1e6b05,Haowen,8 days ago,modify gradlew,
b80f39b,Haowen Shen,8 days ago,Merge pull request #11 from qingyiz1/users,
5d57313,Haowen,8 days ago,modify the manifest,
4b2ca78,Haowen,8 days ago,delete the following xml,
91c1e11,Haowen Shen,8 days ago,pull the main branch and fix the conflic in manifest,
b9694b6,Haowen Shen,8 days ago,bug fixed,
a8690fc,Joyce888888,10 days ago,updated,
97e50a4,Joyce888888,10 days ago,updated,
65e8969,weizhiwj,10 days ago,Update UserViewActivity.java,
9549232,weizhiwj,10 days ago,Merge pull request #10 from qingyiz1/jw,
b78dcdd,weizhiwj,10 days ago,update,
d194929,weizhiwj,10 days ago,user view baseline,
93fd023,Qingyi Zhou,11 days ago,delete gradle,
75a750d,qingyiz1,11 days ago,Update .gitignore,
45cb8b4,weizhiwj,11 days ago,Merge pull request #9 from qingyiz1/jw,
07b16dd,weizhiwj,11 days ago,user view UI,
08cb18e,Joyce888888,12 days ago,deleted,
462ffd0,Joyce888888,2 weeks ago,updated,
479b702,Joyce888888,2 weeks ago,updated,
5ad6c85,Joyce888888,2 weeks ago,updated,
556afe5,Joyce888888,2 weeks ago,updated,
09a8417,Joyce888888,2 weeks ago,updated,
b0291ed,Joyce888888,2 weeks ago,Update CameraActivity.java,
3c3670e,Joyce888888,2 weeks ago,updated,
92afd1e,Joyce888888,2 weeks ago,updated,
d7b361b,Joyce888888,2 weeks ago,updated,
a419518,Joyce888888,2 weeks ago,updated,
047da74,Qingyi Zhou,2 weeks ago,Update MapActivity.java,
6206fc0,qingyiz1,2 weeks ago,Update .gitignore,
ce64fc2,Qingyi Zhou,2 weeks ago,bug fix,
095a78b,qingyiz1,2 weeks ago,Update .gitignore,
8910f6a,Zihan,2 weeks ago,Map Update,
6a58e97,zihanunimelb,2 weeks ago,Delete mapoption.xml,
180d5e0,Haowen Shen,2 weeks ago,Merge pull request #8 from qingyiz1/users,
7769295,Haowen Shen,2 weeks ago,add 'exported' in manifest,
1a81c47,Haowen Shen,2 weeks ago,Merge pull request #7 from qingyiz1/users,
1bda111,Haowen Shen,2 weeks ago,create a new feature that users can check and uncheck on user list page,
00b4efa,Haowen Shen,2 weeks ago,Merge pull request #6 from qingyiz1/users,
d1534f6,Haowen Shen,2 weeks ago,add a user list page,
6080dca,Qingyi Zhou,3 weeks ago,login backend,
1a246cf,Qingyi Zhou,3 weeks ago,Login and Register System,
84273ee,Joyce888888,3 weeks ago,updated,
a0c29cc,Joyce888888,3 weeks ago,updated,
68d4fbd,Joyce888888,3 weeks ago,updated,
dc2e6df,Joyce888888,3 weeks ago,updated,
fc1907e,Joyce888888,3 weeks ago,updated,
5f72cef,Joyce888888,3 weeks ago,changed,
715d399,Joyce888888,3 weeks ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
a69ed0e,Joyce888888,3 weeks ago,Add files via upload,
0c8b5ed,Joyce888888,3 weeks ago,Add files via upload,
9ee6cb9,biey,3 weeks ago,delete dummy,
e202116,biey,3 weeks ago,Create uselessclass.java,
a294182,Joyce888888,3 weeks ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
fa6eae3,biey,3 weeks ago,DELETE,
2656de8,Joyce888888,3 weeks ago,Merge branch 'main' of https://github.com/qingyiz1/COMP90018-Group-W01-09-2 into main,
4.02E+65,Joyce888888,3 weeks ago,delete,
140380,biey,3 weeks ago,DELETE USELESS,
7c435ae,biey,3 weeks ago,BYT,
478eda9,Zihan,4 weeks ago,Zihan move location of files,
04e7ef2,Haowen Shen,4 weeks ago,Merge pull request #4 from qingyiz1/profile,
b5938d2,Haowen Shen,4 weeks ago,create a following activity,
5.80E+112,Haowen Shen,4 weeks ago,Merge pull request #3 from qingyiz1/profile,
fafd5c5,Haowen Shen,4 weeks ago,create an edit profile activity,
2bd020d,Joyce888888,4 weeks ago,delete,
78edfec,BIEY123,4 weeks ago,Merge pull request #2 from qingyiz1/byt,
199313c,biey,4 weeks ago,1,
de71a1f,zihanunimelb,4 weeks ago,Add files via upload,
52223c2,zihanunimelb,4 weeks ago,Add files via upload,
0ff738e,zihanunimelb,4 weeks ago,Rename app/src/main/activity_login.xml to app/src/main/ui/activity_login.xml,
6862402,zihanunimelb,4 weeks ago,Add files via upload,
c7856c4,zihanunimelb,4 weeks ago,Delete activity_login.xml,
a1b7227,zihanunimelb,4 weeks ago,login,
4a3014c,zihanunimelb,4 weeks ago,login,
f1a49bb,Joyce888888,5 weeks ago,Add files via upload,
9b6aec1,Joyce888888,5 weeks ago,Add files via upload,
75ddd20,Joyce888888,5 weeks ago,Add files via upload,
0a720fe,Joyce888888,5 weeks ago,Add files via upload,
eb1a5ce,Joyce888888,5 weeks ago,Add files via upload,
d418f82,Qingyi Zhou,5 weeks ago,Link Firebase,
df3c765,Qingyi Zhou,5 weeks ago,Init,
f4507d2,qingyiz1,5 weeks ago,Initial commit,
